Date,State,District,Disease,Cases,Deaths
2022-03-22,Kerala,Kottayam,Food Poisoning,9,0
2022-03-22,Odisha,Koraput,Acute Diarrheal Disease,41,0
2022-03-22,Tamil Nadu,Salem,Food Poisoning,30,0
2022-03-23,Gujarat,Kheda,Acute Diarrheal Disease,19,0
2022-03-24,Gujarat,Bhavnagar,Crimean-Congo Hemorrhagic Fever,1,0
2022-03-24,Tamil Nadu,Ariyallur,Acute Diarrheal Disease,14,0
2022-03-25,Jharkhand,Godda,Measles,10,0
2022-03-25,Rajasthan,Sri Ganganagar,Hepatitis/Jaundice,23,1
2022-03-25,Rajasthan,Sri Ganganagar,Hepatitis/Jaundice,23,1
2022-03-25,Rajasthan,Sri Ganganagar,Hepatitis/Jaundice,28,1
2022-03-25,Tamil Nadu,Namakkal,Chickenpox,32,0
2022-03-25,Tamil Nadu,Ramanathapur Am,Food Poisoning,63,0
2022-03-26,Haryana,Panchkula,Typhoid,6,0
2022-03-26,West Bengal,South 24 Parganas,Acute Diarrheal Disease,35,0
2022-03-27,Gujarat,Navsari,Acute Diarrheal Disease,19,0
2022-03-27,Gujarat,Surendranagar,Food Poisoning,57,0
2022-03-27,Karnataka,Davanagere,Acute Diarrheal Disease,21,0
2022-03-28,Kerala,Idukki,Food Poisoning,12,0
2022-03-28,Kerala,Kollam,Food Poisoning,18,0
2022-03-28,Odisha,Koraput,Acute Diarrheal Disease,8,0
2022-03-28,Punjab,Nawanshahr,Hepatitis/Jaundice,207,0
2022-03-28,Rajasthan,Pali,Fever With Rash,11,0
2022-03-28,Tamil Nadu,Tiruchirappalli,Chickenpox,24,0
2022-03-29,Jharkhand,Godda,Measles,2,0
2022-03-29,Karnataka,Koppal,Food Poisoning,50,0
2022-03-29,Maharashtra,Akola,Chikungunya,3,0
2022-03-30,Kerala,Thrissur,Acute Diarrheal Disease,7,0
2022-03-30,Tamil Nadu,Pudukkottai,Dengue,15,0
2022-03-31,Tamil Nadu,Krishnagiri,Food Poisoning,18,0
2022-04-02,Karnataka,Dakshina Kannada,Acute Diarrheal Disease,12,0
2022-04-02,Meghalaya,South West Garo Hills,Chickenpox,32,0
2022-04-02,Telangana,Jagtial,Food Poisoning,25,0
2022-04-03,Odisha,Ganjam,Acute Diarrheal Disease,69,0
2022-04-03,Uttarakhand,Haridwar,Food Poisoning,89,0
2022-04-05,Madhya Pradesh,Chhindwara,Fever With Rash,13,0
2022-04-05,Meghalaya,East Khasi Hills,Influenza,129,0
2022-04-05,Odisha,Ganjam,Acute Diarrheal Disease,83,0
2022-04-06,Karnataka,Bellary,Chikungunya,11,0
2022-04-06,West Bengal,Hooghly,Cholera,50,0
2022-04-07,Bihar,Jehanabad,Measles,6,0
2022-04-08,Odisha,Angul,Food Poisoning,18,0
2022-04-08,Odisha,Ganjam,Acute Diarrheal Disease,39,0
2022-04-08,Telangana,Hyderabad,Acute Diarrheal Disease,95,0
2022-04-10,Jharkhand,Godda,Measles,14,0
2022-04-11,Karnataka,Tumkuru,Food Poisoning,19,0
2022-04-11,Odisha,Ganjam,Acute Diarrheal Disease,32,0
2022-04-12,Uttar Pradesh,Lucknow,Chickenpox,10,0
2022-04-12,West Bengal,Paschim Medinipur,Acute Diarrheal Disease,105,0
2022-04-13,Uttar Pradesh,Ghazipur,Chickenpox,3,0
2022-04-14,Jharkhand,Godda,Chickenpox,5,0
2022-04-14,Kerala,Malappuram,Hepatitis/Jaundice,20,0
2022-04-16,Tamil Nadu,Kancheepuram,Food Poisoning,15,0
2022-04-16,West Bengal,South Parganas,Food Poisoning,160,0
2022-04-17,Maharashtra,Solapur,Food Poisoning,31,0
2022-04-17,Odisha,Sundargarh,Food Poisoning,26,0
2022-04-17,Tamil Nadu,Kallakurichi,Acute Diarrheal Disease,14,0
2022-04-17,Telangana,Nalgonda,Food Poisoning,60,0
2022-04-18,Gujarat,Junagadh,Food Poisoning,64,0
2022-04-18,Odisha,Kandhamal,Acute Diarrheal Disease,11,0
2022-04-18,Tamil Nadu,Ariyalur,Fever With Rash,9,0
2022-04-18,West Bengal,Bardhaman,Acute Diarrheal Disease,91,0
2022-04-19,Kerala,Thrissur,West Nile Fever,1,0
2022-04-19,Kerala,Trivandrum,Acute Diarrheal Disease,6,0
2022-04-19,West Bengal,South 24 Parganas,Acute Diarrheal Disease,71,0
2022-04-20,Jharkhand,Godda,Fever With Rash,20,0
2022-04-21,Gujarat,Bhavnagar,Crimean-Congo Hemorrhagic Fever,1,1
2022-04-21,Odisha,Ganjam,Cholera,23,0
2022-04-21,Uttarakhand,Dehradun,Hepatitis/Jaundice,5,0
2022-04-22,Kerala,Kannur,Food Poisoning,53,0
2022-04-22,Odisha,Bhadrak,Food Poisoning,37,0
2022-04-22,Rajasthan,Sirohi,Encephalitis Sydrome / JE,12,7
2022-04-22,Tamil Nadu,Thanjavur,Food Poisoning,11,0
2022-04-23,Haryana,Panipat,Acute Diarrheal Disease,6,0
2022-04-23,Tamil Nadu,Thiruvarur,Food Poisoning,41,0
2022-04-24,Jharkhand,Godda,Measles,14,0
2022-04-24,Jharkhand,Godda,Measles,14,0
2022-04-24,Karnataka,Hassan,Acute Diarrheal Disease,40,0
2022-04-24,Kerala,Ernakulam,Dengue,69,0
2022-04-24,Kerala,Kannur,Food Poisoning,26,0
2022-04-24,Kerala,Kollam,Acute Diarrheal Disease,61,0
2022-04-24,Uttarakhand,Nainital,Measles,8,2
2022-04-25,Punjab,S.A.S Nagar,Acute Diarrheal Disease,113,0
2022-04-26,Gujarat,Sabarkantha,Dengue,4,3
2022-04-26,Karnataka,Hassan,Acute Diarrheal Disease,40,0
2022-04-26,Odisha,Ganjam,Acute Diarrheal Disease,29,0
2022-04-26,Tamil Nadu,Madurai,Chickenpox,5,0
2022-04-27,Rajasthan,Pali,Food Poisoning,42,0
2022-04-28,Andhra Pradesh,Krishna,Acute Diarrheal Disease,30,0
2022-04-28,Karnataka,Kodagu,Food Poisoning,50,0
2022-04-28,Karnataka,Tumkur,Chickenpox,19,0
2022-04-28,Odisha,Nuapada,Food Poisoning,100,0
2022-04-28,Tamil Nadu,Ariyalur,Acute Diarrheal Disease,17,0
2022-04-29,Assam,Nagaon,Chickenpox,13,0
2022-04-29,Kerala,Alappuzha,Food Poisoning,66,0
2022-04-29,Kerala,Kollam,Acute Diarrheal Disease,63,0
2022-04-29,Odisha,Angul,Food Poisoning,85,0
2022-04-29,Odisha,Gajapati,Chickenpox,25,0
2022-04-29,Tamil Nadu,Krishnagiri,Food Poisoning,11,0
2022-05-01,Kerala,Kasaragod,Acute Diarrheal Disease,58,1
2022-05-02,Kerala,Ernakulam,Dengue,50,0
2022-05-02,Kerala,Wayanad,Food Poisoning,16,0
2022-05-02,Madhya Pradesh,Dewas,Food Poisoning,300,0
2022-05-02,Odisha,Jajpur,Food Poisoning,41,0
2022-05-02,Odisha,Jajpur,Food Poisoning,18,0
2022-05-02,Uttarakhand,Almora,Measles,8,0
2022-05-02,Uttarakhand,Almora,Measles,8,0
2022-05-02,West Bengal,Howrah,Food Poisoning,120,0
2022-05-02,West Bengal,Paschim Medinipur,Food Poisoning,253,0
2022-05-03,Karnataka,Shivamogga,Kyasanur Forest Disease,4,1
2022-05-03,Kerala,Palakkad,Dengue,18,0
2022-05-03,Kerala,Wayanad,Food Poisoning,13,0
2022-05-03,Tamil Nadu,Thanjavur,Chickenpox,5,0
2022-05-03,Tamil Nadu,Thanjavur,Chickenpox,8,0
2022-05-03,Tamil Nadu,Thiruvannama Lai,Food Poisoning,18,0
2022-05-03,Tamil Nadu,Thiruvannama Lai,Food Poisoning,18,0
2022-05-03,Uttar Pradesh (Ihip),Sitapur,Food Poisoning,39,0
2022-05-04,Jharkhand,Saraikela Kharsawan,Chickenpox,6,0
2022-05-04,Karnataka,Tumakuru,Rabies,1,1
