Date,State,District,Disease,Cases,Deaths
2022-11-04,Punjab,Patiala,Acute Diarrheal Disease,218,2
2022-11-04,Tamil Nadu,Salem,Food Poisoning,29,0
2022-11-05,Karnataka,Kalaburagi,Acute Diarrheal Disease,13,0
2022-11-05,Karnataka,Koppal,Cholera,41,0
2022-11-06,Kerala,Idukki,Food Poisoning,167,0
2022-11-06,Kerala,Kottayam,Food Poisoning,22,0
2022-11-06,Maharashtra,Bhandara,Scrub Typhus,8,1
2022-11-07,Karnataka,Davangere,Food Poisoning,60,0
2022-11-07,Karnataka,Davangere,Acute Diarrheal Disease,63,0
2022-11-08,Kerala,Ernakulam,Acute Diarrheal Disease,13,0
2022-11-08,Kerala,Kollam,Zika Virus,1,0
2022-11-09,Kerala,Ernakulam,Food Poisoning,21,0
2022-11-09,Kerala,Kottayam,Food Poisoning,37,0
2022-11-09,Tamil Nadu,Thanjavur,Acute Diarrheal Disease,15,0
2022-11-10,Karnataka,Mysuru,Dengue,13,0
2022-11-10,Maharashtra,Kolhapur,Cholera,233,2
2022-11-10,Tamil Nadu,Thanjavur,Allergic Conjunctivitis,22,0
2022-11-10,Uttar Pradesh,Sonbhadra,Diphtheria,1,1
2022-11-11,Kerala,Malappuram,Hepatitis/Jaundice,49,0
2022-11-11,Maharashtra,Aurangabad,Fever of Unknown Origin,24,0
2022-11-11,Maharashtra,Aurangabad,Dengue,2,1
2022-11-12,Karnataka,Yadgiri,Encephalitis Sydrome / JE,2,0
2022-11-12,Uttar Pradesh,Auraiya,Dengue,101,0
2022-11-13,Gujarat,Bharuch,Food Poisoning,343,0
2022-11-13,Kerala,Malappuram,Measles,30,0
2022-11-13,Kerala,Palakkad,Acute Diarrheal Disease,21,0
2022-11-14,Kerala,Kannur,Food Poisoning,9,0
2022-11-14,Kerala,Kottayam,Food Poisoning,20,0
2022-11-14,Kerala,Kottayam,Food Poisoning,11,0
2022-11-14,Kerala,Malappuram,Measles,28,0
2022-11-14,Maharashtra,Latur,Fever of Unknown Origin,20,0
2022-11-15,Haryana,Palwal,Measles,5,0
2022-11-15,Karnataka,Haveri,Encephalitis Sydrome / JE,4,1
2022-11-15,Karnataka,Raichur,Zika Virus,1,0
2022-11-15,Kerala,Kasaragod,Food Poisoning,33,0
2022-11-17,Karnataka,Koppal,Food Poisoning,45,0
2022-11-17,Kerala,Kannur,Hepatitis/Jaundice,12,0
2022-11-18,Karnataka,Davangere,Leptospirosis,1,1
2022-11-18,Kerala,Malappuram,Leishmaniasis / Kala-Azar,2,0
2022-11-19,Gujarat,Valsad,Acute Diarrheal Disease,34,0
2022-11-19,Karnataka,Koppal,Acute Diarrheal Disease,45,0
2022-11-19,Rajasthan,Alwar,Measles,32,0
2022-11-21,Karnataka,Dakshina Kannada,Acute Diarrheal Disease,15,0
2022-11-22,Karnataka,Koppal,Acute Diarrheal Disease,13,0
2022-11-22,Kerala,Kannur,Leishmaniasis / Kala-Azar,1,1
2022-11-22,Rajasthan,Alwar,Measles,30,0
2022-11-23,Madhya Pradesh,Shahdol,Fever With Rash,15,0
2022-11-23,Maharashtra,Kolhapur,Acute Diarrheal Disease,14,0
2022-11-24,Karnataka,Dakhina Kannada,Leptospirosis,1,1
2022-11-24,Kerala,Thrissur,Dengue,21,0
2022-11-24,Kerala,Thrissur,Acute Diarrheal Disease,66,0
2022-11-25,Kerala,Malappuram,Monkey Pox,2,0
2022-11-25,Maharashtra,Raigad,Leptospirosis,28,1
2022-11-26,Karnataka,Bangalore Urban,Acute Diarrheal Disease,104,0
2022-11-28,Karnataka,Ballari,Rabies,2,2
2022-11-28,Karnataka,Davangere,Encephalitis Sydrome / JE,1,0
2022-11-29,Karnataka,Ramanagara,Acute Diarrheal Disease,15,0
2022-11-29,Mizoram,Aizawl,Acute Diarrheal Disease,26,0
2022-11-29,Odisha,Angul,Food Poisoning,17,0
2022-11-30,Maharashtra,Latur,Fever of Unknown Origin,19,0
2022-11-30,Puducherry,Puducherry,Chickenpox,15,0
2022-11-30,Tamil Nadu,Virudhunagar,Fever of Unknown Origin,12,0
2022-12-01,Assam,Marigaon,Acute Diarrheal Disease,15,0
2022-12-02,Karnataka,Tumakuru,Acute Diarrheal Disease,11,0
2022-12-02,Karnataka,Tumkur,Acute Diarrheal Disease,18,0
2022-12-02,Kerala,Alappuzha,Acute Diarrheal Disease,161,0
2022-12-03,Haryana,Panipat,Measles,7,0
2022-12-03,Madhya Pradesh,Neemuch,Chickenpox,11,0
2022-12-03,Odisha,Bargarh,Food Poisoning,39,0
2022-12-04,Karnataka,Chamarajanagar,Acute Diarrheal Disease,26,0
2022-12-04,Karnataka,Chitradurga,Food Poisoning,54,0
2022-12-04,Karnataka,Kolar,Chickenpox,11,0
2022-12-05,Karnataka,Mandya,Fever of Unknown Origin,36,0
2022-12-05,Kerala,Thrissur,Acute Diarrheal Disease,22,0
2022-12-05,Maharashtra,Kolhapur,Acute Diarrheal Disease,50,0
2022-12-06,Chhattisgarh,Raigarh,Acute Diarrheal Disease,58,0
2022-12-06,Karnataka,Raichur,Food Poisoning,18,0
2022-12-06,Karnataka,Raichur,Food Poisoning,18,0
2022-12-06,Maharashtra,Amravati,Acute Diarrheal Disease,61,0
2022-12-07,Kerala,Palakkad,Food Poisoning,13,0
2022-12-07,Maharashtra,Kolhapur,Acute Diarrheal Disease,16,0
2022-12-09,Uttar Pradesh,Lucknow,Chickenpox,5,0
2022-12-10,Karnataka,Tumkur,Fever & Urti,16,0
2022-12-10,Kerala,Kannur,Food Poisoning,179,0
2022-12-11,Kerala,Ernakulam,Food Poisoning,31,0
2022-12-12,Karnataka,Dakshina Kannada,Influenza,48,0
2022-12-12,Karnataka,Shivamogga,Fever With Rash,12,0
2022-12-15,Karnataka,Tumkur,Food Poisoning,80,0
2022-12-15,Maharashtra,Nanded,Acute Diarrheal Disease,121,0
2022-12-15,Telangana,Nirmal,Food Poisoning,16,0
2022-12-16,Karnataka,Bagalakote,Chickenpox,12,0
2022-12-17,Gujarat,Anand,Acute Diarrheal Disease,25,0
2022-12-17,Karnataka,Udupi,Encephalitis Sydrome / JE,1,1
2022-12-17,Telangana,Nirmal,Acute Diarrheal Disease,16,0
2022-12-18,Kerala,Ernakulam,Food Poisoning,23,0
2022-12-19,Chhattisgarh,Balod,Acute Diarrheal Disease,15,0
2022-12-19,Karnataka,Davangere,Leptospirosis,1,1
2022-12-19,Karnataka,Koppal,Food Poisoning,20,0
2022-12-19,Karnataka,Mandya,Chickenpox,37,0
2022-12-19,Kerala,Kannur,Food Poisoning,37,0
2022-12-19,West Bengal,Uttar Dinajpur,Measles,64,0
2022-12-24,Karnataka,Chikkaballapura,Fever of Unknown Origin,15,0
2022-12-24,Kerala,Palakkad,Encephalitis Sydrome / JE,1,1
2022-12-25,Karnataka,Tumkur,Chickenpox,12,0
2022-12-25,Telangana,Adilabad,Acute Diarrheal Disease,35,0
2022-12-26,Karnataka,Shivamogga,Food Poisoning,25,0
2022-12-26,Karnataka,Tumkur,Fever & Urti,25,0
2022-12-26,Kerala,Ernakulam,Food Poisoning,16,0
2022-12-29,Kerala,Pathanamthitta,Food Poisoning,23,0
2022-12-30,Maharashtra,Aurangabad,Measles,14,0
2023-01-01,Tripura,South Tripura,Acute Diarrheal Disease,147,0
2023-01-01,Uttar Pradesh,Pratapgarh,Chickenpox,18,0
2023-01-03,Uttar Pradesh,Bhadohi,Measles,17,0
2023-01-05,Uttar Pradesh,Faizabad,Measles,10,0
2023-01-08,Meghalaya,West Khasi Hills,Rubella,1,0
2023-01-09,Uttar Pradesh,Jhansi,Chickenpox,11,0
2023-01-13,Kerala,Ernakulam,Food Poisoning,73,0
2023-01-14,Kerala,Kannur,Food Poisoning,63,0
2023-01-15,Kerala,Kannur,Food Poisoning,78,0
2023-01-15,Punjab,S.A.S Nagar,Acute Diarrheal Disease,32,0
2023-01-16,Karnataka,Shivamogga,Acute Diarrheal Disease,178,0
2023-01-16,Karnataka,Tumkur,Chikungunya,15,0
2023-01-16,Kerala,Ernakulam,Food Poisoning,106,0
2023-01-16,Kerala,Kannur,Food Poisoning,44,0
2023-01-17,Kerala,Wayanand,Acute Diarrheal Disease,43,0
2023-01-17,Odisha,Jajpur,Hepatitis/Jaundice,19,0
2023-01-18,Kerala,Kannur,Food Poisoning,60,0
2023-01-19,Karnataka,Bengaluru,Acute Diarrheal Disease,44,0
2023-01-19,Maharashtra,Pune,Measles,5,0
2023-01-19,Maharashtra,Pune,Measles,8,0
2023-01-19,Odisha,Cuttack,Food Poisoning,220,0
2023-01-20,Karnataka,Tumkur,Fever of Unknown Origin,33,0
2023-01-20,Karnataka,Tumkur,Fever of Unknown Origin,25,0
2023-01-20,Karnataka,Uduppi,Food Poisoning,30,0
2023-01-20,Madhya Pradesh,Shivpuri,Food Poisoning,111,0
2023-01-21,Chhattisgarh,Baloda Bazar,Chickenpox,52,0
2023-01-21,Karnataka,Chikkamagaluru,Kyasanur Forest Disease,1,0
2023-01-21,Karnataka,Hassan,Rabies,1,1
2023-01-21,Karnataka,Tumkur,Fever of Unknown Origin,16,0
2023-01-21,Kerala,Malappuram,Food Poisoning,20,0
2023-01-21,Kerala,Malappuram,Acute Diarrheal Disease,20,0
2023-01-21,Uttar Pradesh,Pilibhit,Acute Diarrheal Disease,25,0
2023-01-23,Bihar,Nalanda,Chickenpox,12,0
2023-01-23,Chhattisgarh,Janjgir-Champa,Chickenpox,11,0
2023-01-23,Karnataka,Davangere,Chickenpox,13,0
2023-01-23,Karnataka,Tumkur,Dengue,20,0
2023-01-24,Bihar,Madhubani,Chickenpox,28,0
2023-01-24,Kerala,Wayanad,Acute Diarrheal Disease,98,0
2023-01-25,Chhattisgarh,Baloda Bazar,Chickenpox,21,0
2023-01-25,Rajasthan,Dausa,Food Poisoning,103,0
2023-01-26,Kerala,Palakkad,Influenza,23,0
2023-01-26,Kerala,Palakkad,Chickenpox,19,0
2023-01-26,Kerala,Thrissur,Acute Diarrheal Disease,30,0
2023-01-27,Kerala,Kollam,Food Poisoning,23,0
2023-01-27,Maharashtra,Sangli,Food Poisoning,34,0
2023-01-27,Odisha,Deogarh,Acute Diarrheal Disease,20,0
2023-01-27,Tamil Nadu,Tiruchirappalli,Cholera,6,0
2023-01-27,Uttar Pradesh,Fatehpur,Chickenpox,24,0
2023-01-28,Karnataka,Davangere,Food Poisoning,12,0
2023-01-30,Kerala,Kannur,Food Poisoning,40,0
2023-01-30,Maharashtra,Latur,Measles,7,0
2023-01-31,Himachal Pradesh,Kangra,Acute Diarrheal Disease,112,0
2023-01-31,Odisha,Bargarh,Food Poisoning,31,0
2023-01-31,Puducherry,Pondicherry,Food Poisoning,15,0
2023-02-01,Karnataka,Dakshin Kannada,Leptospirosis,1,1
2023-02-01,Kerala,Kasaragod,Food Poisoning,165,0
2023-02-01,Kerala,Kasaragod,Food Poisoning,165,0
2023-02-01,Kerala,Kasaragod,Food Poisoning,123,0
2023-02-02,Gujarat,Mahesana,Acute Diarrheal Disease,249,0
2023-02-02,Karnataka,Bidar,Rabies,1,1
2023-02-02,Maharashtra,Solapur,Food Poisoning,66,0
2023-02-03,Gujarat,Mahesana,Acute Diarrheal Disease,56,0
2023-02-03,Karnataka,Hassan,Chickenpox,29,0
2023-02-04,Karnataka,Tumkur,Chickenpox,13,0
2023-02-04,Karnataka,Udupi,Acute Diarrheal Disease,12,0
2023-02-04,Kerala,Malappuram,Leishmaniasis / Kala-Azar,1,0
2023-02-04,Kerala,Thrissur,Chickenpox,11,0
2023-02-05,Karnataka,Belagavi,Food Poisoning,25,0
2023-02-06,Karnataka,Ballari,Rabies,1,1
2023-02-06,Karnataka,Dakshin Kannada,Acute Diarrheal Disease,254,0
2023-02-06,Karnataka,Dakshina Kannada,Food Poisoning,254,0
2023-02-06,Karnataka,Hassan,Chickenpox,19,0
2023-02-06,Karnataka,Vijaypur,Chickenpox,25,0
2023-02-06,Maharashtra,Raigad,Leptospirosis,20,1
2023-02-06,Odisha,Angul,Food Poisoning,27,0
2023-02-06,Uttar Pradesh,Pratapgarh,Fever With Rash,6,0
2023-02-06,Uttar Pradesh,Pratapgarh,Fever With Rash,5,0
2023-02-07,Jharkhand,Dumka,Chickenpox,3,0
2023-02-07,Uttar Pradesh,Fatehpur,Measles,5,0
2023-02-08,Assam,Marigaon,Leptospirosis,1,0
2023-02-08,Karnataka,Bengaluru Urban,Chickenpox,29,0
2023-02-08,Karnataka,Dakshina Kannada,Acute Diarrheal Disease,34,0
2023-02-08,Kerala,Kannur,Food Poisoning,131,0
2023-02-08,Kerala,Kollam,Food Poisoning,20,0
2023-02-08,Uttar Pradesh,Jalaun,Measles,31,0
2023-02-09,Karnataka,Hassan,Measles,60,0
2023-02-09,Kerala,Kannur,Food Poisoning,238,0
2023-02-09,Maharashtra,Pune,Acute Diarrheal Disease,49,0
2023-02-10,Gujarat,Junagadh,Food Poisoning,32,0
2023-02-10,Odisha,Deogarh,Chickenpox,28,0
2023-02-10,Tamil Nadu,Erode,Food Poisoning,102,0
2023-02-11,Jharkhand,Khunti,Chickenpox,17,0
2023-02-11,Karnataka,Kodagu,Diphtheria,1,1
2023-02-11,Kerala,Ernakulam,Food Poisoning,105,0
2023-02-12,Kerala,Kannur,Measles,12,0
2023-02-12,Odisha,Rayagada,Fever With Rash,12,0
2023-02-13,Assam,Dibrugarh,Rabies,1,1
2023-02-13,Uttar Pradesh,Mirzapur,Food Poisoning,21,2
2023-02-14,Karnataka,Yadgiri,Acute Diarrheal Disease,93,3
2023-02-16,Assam,Sonitpur,Chickenpox,20,0
2023-02-16,Karnataka,Hassan,Food Poisoning,16,0
2023-02-16,Karnataka,Raichur,Chikungunya,42,0
2023-02-16,Karnataka,Tumkur,Rabies,1,1
2023-02-17,Odisha,Balasore,Encephalitis Sydrome / JE,12,1
2023-02-18,Madhya Pradesh,Raisen,Chickenpox,14,0
2023-02-19,Gujarat,Jamnagar,Food Poisoning,44,0
2023-02-19,Maharashtra,Osmanabad,Food Poisoning,13,0
2023-02-20,Gujarat,Navsari,Food Poisoning,18,0
2023-02-20,Jammu And Kashmir,Badgam,Hepatitis/Jaundice,9,0
2023-02-20,Kerala,Kottayam,Monkey Pox,1,0
2023-02-20,Tamil Nadu,Tenkasi,Dengue,23,0
2023-02-21,Karnataka,Bagalkote,Chickenpox,10,0
2023-02-21,Karnataka,Yadgir,Chikungunya,13,0
2023-02-21,Odisha,Rayagada,Acute Diarrheal Disease,11,0
2023-02-21,Telangana,Narayanpet,Acute Diarrheal Disease,64,0
2023-02-21,Uttarakhand,Pithoragarh,Hepatitis/Jaundice,56,0
2023-02-22,Jammu And Kashmir,Badgam,Hepatitis/Jaundice,8,0
2023-02-23,Madhya Pradesh,Betul,Acute Diarrheal Disease,31,0
2023-02-23,Odisha,Bargarh,Food Poisoning,14,0
2023-02-24,Kerala,Kannur,Food Poisoning,182,0
2023-02-24,Maharashtra,Ahmednagar,Fever of Unknown Origin,120,0
2023-02-25,Bihar,Aurangabad,Measles,6,0
2023-02-25,Odisha,Cuttack,Food Poisoning,12,0
2023-02-25,Tamil Nadu,Tiruvannamalai,Chickenpox,40,0
2023-02-26,Madhya Pradesh,Khargone,Acute Diarrheal Disease,46,0
2023-02-27,Kerala,Palakkad,Chickenpox,22,0
2023-02-28,Chhattisgarh,Durg,Fever With Rash,31,0
2023-03-01,Tamil Nadu,Salem,Chickenpox,13,0
2023-03-02,Kerala,Thrissur,Adenovirus,220,0
2023-03-02,Meghalaya,West Garo Hills,Rabies,1,1
2023-03-04,Karnataka,Vijayanagar,Rabies,1,1
2023-03-04,Kerala,Malappuram,Cholera,52,0
2023-03-04,Madhya Pradesh,Gwalior,Measles,10,0
2023-03-04,Odisha,Ganjam,Chickenpox,20,0
2023-03-05,Jharkhand,Chatra,Acute Diarrheal Disease,22,0
2023-03-05,Karnataka,Chikkaballapura,Rabies,1,1
2023-03-06,Jharkhand,Chatra,Fever With Rash,13,0
2023-03-07,Assam,Barpeta,Acute Diarrheal Disease,22,0
2023-03-07,Uttarakhand,Rudra Prayag,Typhoid,18,0
2023-03-08,Karnataka,Mandya,Acute Diarrheal Disease,33,0
2023-03-08,Kerala,Kannur,Food Poisoning,35,0
2023-03-09,Kerala,Pathanamthitta,Food Poisoning,29,0
2023-03-10,Karnataka,Koppal,Rabies,1,1
2023-03-10,Odisha,Subarnapur,Chickenpox,12,0
2023-03-11,West Bengal,Paschim Medinipur,Food Poisoning,97,0
2023-03-13,Chhattisgarh,Dhamtari,Acute Diarrheal Disease,11,0
2023-03-13,Karnataka,Davangere,Rabies,1,1
2023-03-13,Kerala,Palakkad,Chickenpox,12,0
2023-03-14,Chhattisgarh,Dhamtari,Chickenpox,14,0
2023-03-14,Jharkhand,Chatra,Chickenpox,12,0
2023-03-14,Kerala,Malappuram,Hepatitis/Jaundice,28,0
2023-03-15,Meghalaya,East Jaintia Hills,Rabies,1,1
2023-03-15,Odisha,Ganjam,Chickenpox,18,0
2023-03-15,Odisha,Sundargarh,Hepatitis/Jaundice,75,0
2023-03-16,Kerala,Malappuram,Typhoid,32,0
2023-03-17,Jharkhand,Deoghar,Acute Diarrheal Disease,18,0
2023-03-17,Karnataka,Mandya,Food Poisoning,126,0
2023-03-17,Uttar Pradesh,Farrukhabad,Chickenpox,23,0
2023-03-18,Andhra Pradesh,Ntr,Acute Diarrheal Disease,22,0
2023-03-18,Karnataka,Dakshina Kannada,Measles,15,0
2023-03-18,Karnataka,Yadgiri,Acute Diarrheal Disease,18,0
2023-03-18,Odisha,Balangir,Food Poisoning,24,0
2023-03-18,Odisha,Koraput,Fever With Rash,30,0
2023-03-20,Karnataka,Bagalkote,Chickenpox,10,0
2023-03-20,Karnataka,Mandya,Fever With Rash,8,0
2023-03-20,Meghalaya,Ri Bhoi,Rabies,1,1
2023-03-20,West Bengal,South 24 Paranas,Food Poisoning,120,0
2023-03-20,West Bengal,South24 Parganas,Food Poisoning,120,0
2023-03-21,Kerala,Ernakulam,Food Poisoning,23,0
2023-03-22,Jharkhand,Hazaribagh,Fever With Rash,16,0
2023-03-23,Karnataka,Chitradurga,Chickenpox,19,0
2023-03-23,Kerala,Ernakulam,West Nile Fever,1,0
2023-03-24,Haryana,Sonipat,Food Poisoning,63,0
2023-03-25,Bihar,Rohtas,Fever With Rash,5,0
2023-03-25,Kerala,Kollam,Food Poisoning,23,0
2023-03-25,West Bengal,South24 Parganas,Food Poisoning,88,0
2023-03-26,West Bengal,Hooghly,Acute Diarrheal Disease,57,0
2023-03-26,West Bengal,South 24 Parganas,Acute Diarrheal Disease,50,0
2023-03-27,Karnataka,Ballari,Acute Diarrheal Disease,95,0
2023-03-27,Karnataka,Chamarajanagar,Chickenpox,14,0
2023-03-28,Karnataka,Raichur,Acute Diarrheal Disease,10,0
2023-03-28,Uttar Pradesh,Gonda,Chickenpox,12,0
2023-03-29,Karnataka,Bagalkote,Chickenpox,24,0
2023-03-29,Punjab,Bathinda,Measles,11,0
2023-03-30,Kerala,Ernakulam,Dengue,26,0
2023-03-30,Meghalaya,West Jaintia Hills,Rabies,1,1
2023-03-31,Gujarat,Panchmahal,Acute Diarrheal Disease,29,0
2023-04-01,Jharkhand,Giridih,Measles,7,0
2023-04-01,Kerala,Wayanad,Measles,29,0
2023-04-02,Kerala,Kollam,Food Poisoning,47,0
2023-04-02,Kerala,Malappuram,Food Poisoning,71,0
2023-04-02,West Bengal,Paschim Medinipur,Acute Diarrheal Disease,123,0
2023-04-03,Chhattisgarh,Bilaspur,Chickenpox,19,0
2023-04-03,Gujarat,Surat,Measles,6,0
2023-04-03,Gujarat,Surat,Measles,6,0
2023-04-03,Meghalaya,West Garo Hills,Chickenpox,16,0
2023-04-04,Jharkhand,Jamtara,Chickenpox,21,0
2023-04-04,Karnataka,Dakshina Kannada,Leptospirosis,1,1
2023-04-04,Kerala,Thiruvananthapu Ram,Acute Diarrheal Disease,335,0
2023-04-04,Kerala,Wayanad,Food Poisoning,16,0
2023-04-04,Punjab,Jalandhar,Cholera,10,0
2023-04-04,West Bengal,North 24 Parganas,Acute Diarrheal Disease,151,0
2023-04-05,Chhattisgarh,Balod,Chickenpox,12,0
2023-04-05,Gujarat,Surat,Measles,10,0
2023-04-05,Karnataka,Hassan,Rabies,1,1
2023-04-05,Karnataka,Mandya,Rabies,1,1
2023-04-05,Kerala,Thiruvananthapu Ram,Acute Diarrheal Disease,234,0
2023-04-05,Odisha,Koraput,Fever With Rash,27,0
2023-04-05,West Bengal,North 24 Parganas,Acute Diarrheal Disease,103,0
2023-04-06,Karnataka,Hassan,Rabies,1,1
2023-04-06,Madhya Pradesh,Khargone,Food Poisoning,53,0
2023-04-06,Punjab,Sri Muktsar Sahib,Measles,5,0
2023-04-07,Punjab,S.A.S Nagar,Acute Diarrheal Disease,19,0
2023-04-08,Karnataka,Chikkaballapura,Rabies,1,1
2023-04-08,Kerala,Thrissur,West Nile Fever,1,0
2023-04-08,Odisha,Cuttack,Food Poisoning,114,0
2023-04-08,Odisha,Cuttack,Acute Diarrheal Disease,52,0
2023-04-09,Kerala,Pathanamthitta,Dengue,10,0
2023-04-10,Kerala,Palakkad,Hepatitis/Jaundice,13,0
2023-04-11,Bihar,Banka,Fever With Rash,17,0
2023-04-11,Karnataka,Dharwad,Acute Diarrheal Disease,13,0
2023-04-11,Karnataka,Vijayanagar,Food Poisoning,32,0
2023-04-11,Kerala,Malappuram,Food Poisoning,19,0
2023-04-11,Odisha,Koraput,Fever With Rash,13,0
2023-04-12,Bihar,Muzaffarpur,Encephalitis Sydrome / JE,1,0
2023-04-12,Karnataka,Bellary,Dengue,15,0
2023-04-12,Karnataka,Gadag,Measles,61,0
2023-04-12,West Bengal,Basirhat,Food Poisoning,87,0
2023-04-15,Gujarat,Surat,Fever With Rash,7,0
2023-04-15,Gujarat,Surat,Measles,8,0
2023-04-15,Jharkhand,East Singhbum,Chickenpox,14,0
2023-04-15,Kerala,Thiruvanathap Uram,Dengue,12,0
2023-04-16,Kerala,Ernakulam,Dengue,23,0
2023-04-16,West Bengal,Diamond Harbour,Food Poisoning,114,0
2023-04-18,Karnataka,Mandya,Measles,7,0
2023-04-18,Madhya Pradesh,Indore,Food Poisoning,23,0
2023-04-18,Odisha,Sundargarh,Acute Diarrheal Disease,25,0
2023-04-19,Karnataka,Bangalore,Acute Diarrheal Disease,297,0
2023-04-19,Karnataka,Bidar,Acute Diarrheal Disease,40,0
2023-04-19,Karnataka,Kalaburagi,Acute Diarrheal Disease,11,0
2023-04-19,Madhya Pradesh,Mandsaur,Food Poisoning,125,0
2023-04-19,West Bengal,Purulia,Acute Diarrheal Disease,36,0
2023-04-19,West Bengal,Purulia,Acute Diarrheal Disease,39,0
2023-04-20,Odisha,Koraput,Acute Diarrheal Disease,30,0
2023-04-21,Jammu And Kashmir,Shopian,Hepatitis/Jaundice,5,0
2023-04-22,Karnataka,Tumkur,Acute Diarrheal Disease,50,0
2023-04-22,Madhya Pradesh,Katni,Measles,9,0
2023-04-22,Tamil Nadu,Tiruchirappalli,Acute Diarrheal Disease,17,0
2023-04-23,Meghalaya,East Khasi Hills,Chickenpox,23,0
2023-04-23,Odisha,Mayurbhanj,Acute Diarrheal Disease,65,0
2023-04-24,Kerala,Malappuram,Food Poisoning,23,0
2023-04-24,Meghalaya,East Khasi Hills,Chickenpox,25,0
2023-04-24,West Bengal,Basirhat Hd,Hepatitis/Jaundice,93,0
2023-04-25,Karnataka,Bagalkote,Measles,13,0
2023-04-26,Gujarat,Gandhinagar,Acute Diarrheal Disease,50,0
2023-04-26,Karnataka,Chikkaballapura,Acute Diarrheal Disease,17,0
2023-04-26,Kerala,Thrissur,Dengue,63,0
2023-04-27,Jharkhand,Khunti,Fever With Rash,15,0
2023-04-27,Punjab,S.A.S Nagar,Acute Diarrheal Disease,22,0
2023-04-27,Tamil Nadu,Thanjavur,Acute Diarrheal Disease,18,0
2023-04-27,Telangana,Hyderabad,Acute Diarrheal Disease,65,0
2023-04-28,Karnataka,Hassan,Acute Diarrheal Disease,20,0
2023-04-28,Madhya Pradesh,Neemuch,Measles,6,0
2023-04-28,Maharashtra,Nanded,Dengue,13,0
2023-04-29,Chhattisgarh,Narayanpur,Acute Diarrheal Disease,26,0
2023-04-29,Kerala,Trivandrum,Adenovirus,117,0
2023-04-30,Odisha,Koraput,Anthrax,5,0
2023-04-30,Uttar Pradesh,Jalaun,Chickenpox,3,0
2023-05-01,Assam,Karbi Anglong,Rabies,1,1
2023-05-01,Jammu And Kashmir,Udhampur,Measles,4,0
2023-05-01,Meghalaya,West Jaintia Hills,Rabies,1,1
2023-05-02,Assam,Bongaigaon,Encephalitis Sydrome / JE,1,0
2023-05-02,Kerala,Kannur,Food Poisoning,42,0
2023-05-02,Kerala,Thrissur,Food Poisoning,7,1
2023-05-02,Kerala,Trivandrum,Zika Virus,2,0
2023-05-03,Bihar,Sheohar,Encephalitis Sydrome / JE,1,0
2023-05-03,Karnataka,Davangere,Rabies,1,1
2023-05-03,Karnataka,Vijayanagar,Acute Diarrheal Disease,36,0
2023-05-03,Kerala,Ernakulam,Acute Diarrheal Disease,36,0
2023-05-03,Kerala,Kollam,Acute Diarrheal Disease,44,0
2023-05-03,Kerala,Pathanamthitta,Dengue,8,0
2023-05-03,Maharashtra,Yavatmal,Food Poisoning,50,0
2023-05-03,Odisha,Sundargarh,Food Poisoning,34,0
2023-05-04,Gujarat,Valsad,Acute Diarrheal Disease,10,0
2023-05-04,Karnataka,Bellary,Acute Diarrheal Disease,42,0
2023-05-04,Kerala,Palakkad,Food Poisoning,10,0
2023-05-04,Kerala,Thrissur,Dengue,48,0
2023-05-05,Kerala,Kannur,Food Poisoning,53,0
2023-05-06,Jharkhand,Giridih,Acute Diarrheal Disease,5,0
2023-05-06,Kerala,Thrissur,Food Poisoning,85,0
2023-05-07,Gujarat,Amreli,Food Poisoning,95,0
2023-05-08,Kerala,Kottayam,Dengue,5,0
2023-05-09,Chhattisgarh,Balod,Acute Diarrheal Disease,26,0
2023-05-09,Jharkhand,Ramgarh,Acute Diarrheal Disease,7,0
2023-05-09,Kerala,Ernakulam,Dengue,41,0
2023-05-10,Gujarat,Jamnagar,Acute Diarrheal Disease,35,0
2023-05-10,Haryana,Yamunanagar,Acute Diarrheal Disease,42,0
2023-05-10,Jharkhand,Khunti,Chickenpox,5,0
2023-05-10,Kerala,Ernakulam,Dengue,31,0
2023-05-10,Kerala,Kollam,Dengue,51,0
2023-05-10,Kerala,Kottayam,Food Poisoning,7,0
2023-05-10,Kerala,Kottayam,Food Poisoning,120,0
2023-05-10,Kerala,Kozhikode,Dengue,15,0
2023-05-10,Uttar Pradesh,Fatehpur,Chickenpox,22,0
2023-05-11,Kerala,Kannur,West Nile Fever,1,0
2023-05-11,Kerala,Kottayam,Dengue,9,0
2023-05-11,Kerala,Malappuram,Dengue,9,0
2023-05-11,Odisha,Bargarh,Hepatitis/Jaundice,7,0
2023-05-13,Assam,Marigaon,Acute Diarrheal Disease,27,0
2023-05-13,Madhya Pradesh,Ashoknagar,Fever With Rash,6,0
2023-05-15,Assam,Karbi Anglong,Acute Diarrheal Disease,15,1
2023-05-15,Karnataka,Koppal,Cholera,35,0
2023-05-15,Kerala,Kannur,Food Poisoning,23,0
2023-05-15,Odisha,Cuttack,Food Poisoning,28,0
2023-05-16,Assam,Jorhat,Encephalitis Sydrome / JE,2,0
2023-05-16,Uttar Pradesh,Fatehpur,Measles,3,0
2023-05-16,West Bengal,Purulia,Food Poisoning,60,0
2023-05-17,Karnataka,Koppal,Cholera,36,0
2023-05-17,Kerala,Kannur,Acute Diarrheal Disease,51,0
2023-05-17,Kerala,Malappuram,Food Poisoning,135,0
2023-05-17,Maharashtra,Yavatmal,Food Poisoning,21,0
