origin_district,origin_state,origin_lat,origin_lon,dest_district,dest_state,dest_lat,dest_lon
Nagaur,Rajasthan,27.06639984305069,74.18374438811135,Pali,Rajasthan,25.708695748836075,73.52097224079252
Nagaur,Rajasthan,27.06639984305069,74.18374438811135,Sikar,Rajasthan,27.640021414771343,75.28126185595673
Pali,Rajasthan,25.708695748836075,73.52097224079252,Rajsamand,Rajasthan,25.197425062519116,73.87531867191237
Pali,Rajasthan,25.708695748836075,73.52097224079252,Sirohi,Rajasthan,24.7584271232481,72.77903187084048
Pali,Rajasthan,25.708695748836075,73.52097224079252,Udaipur,Rajasthan,24.391910320543726,73.75588399643622
Rajsamand,Rajasthan,25.197425062519116,73.87531867191237,Udaipur,Rajasthan,24.391910320543726,73.75588399643622
Sawai Madhopur,Rajasthan,26.1927589802982,76.44437776619056,Tonk,Rajasthan,26.150000447218037,75.66734050527432
Sirohi,Rajasthan,24.7584271232481,72.77903187084048,Udaipur,Rajasthan,24.391910320543726,73.75588399643622
East,Sikkim,27.293011252694534,88.67076146334071,South Sikkim,Sikkim,27.287090758526322,88.38035955022067
North Sikkim,Sikkim,27.743675315075915,88.52635392478632,West Sikkim,Sikkim,27.347109978278425,88.17392363842802
Ariyalur,Tamil Nadu,11.146720099018616,79.2281871137129,Cuddalore,Tamil Nadu,11.525092972415559,79.44522850321515
Ariyalur,Tamil Nadu,11.146720099018616,79.2281871137129,Thanjavur,Tamil Nadu,10.65524982779382,79.2235906361112
Ariyalur,Tamil Nadu,11.146720099018616,79.2281871137129,Tiruchchirappalli,Tamil Nadu,10.876685258615895,78.55491393792526
Chennai,Tamil Nadu,13.048086368619531,80.23495207417596,Kancheepuram,Tamil Nadu,12.68130607406704,79.93615675192115
Chennai,Tamil Nadu,13.048086368619531,80.23495207417596,Thiruvallur,Tamil Nadu,13.23032852238684,79.92518938442433
Coimbatore,Tamil Nadu,10.836771906232924,77.07196679623875,Dindigul,Tamil Nadu,10.379260158336535,77.80498330785498
Coimbatore,Tamil Nadu,10.836771906232924,77.07196679623875,Erode,Tamil Nadu,11.319382187814165,77.44692953240096
Coimbatore,Tamil Nadu,10.836771906232924,77.07196679623875,Nilgiris,Tamil Nadu,11.448384731421388,76.63281167845548
Cuddalore,Tamil Nadu,11.525092972415559,79.44522850321515,Thanjavur,Tamil Nadu,10.65524982779382,79.2235906361112
Cuddalore,Tamil Nadu,11.525092972415559,79.44522850321515,Villupuram,Tamil Nadu,11.960325100139361,79.28446742363931
Dharmapuri,Tamil Nadu,12.29558351588905,78.0974203074054,Erode,Tamil Nadu,11.319382187814165,77.44692953240096
Dharmapuri,Tamil Nadu,12.29558351588905,78.0974203074054,Salem,Tamil Nadu,11.663093379088567,78.20916073899492
Dharmapuri,Tamil Nadu,12.29558351588905,78.0974203074054,Tiruvannamalai,Tamil Nadu,12.418655269773646,79.15445865404303
Dharmapuri,Tamil Nadu,12.29558351588905,78.0974203074054,Vellore,Tamil Nadu,12.800637803865245,78.99814820456407
Dharmapuri,Tamil Nadu,12.29558351588905,78.0974203074054,Villupuram,Tamil Nadu,11.960325100139361,79.28446742363931
Dindigul,Tamil Nadu,10.379260158336535,77.80498330785498,Erode,Tamil Nadu,11.319382187814165,77.44692953240096
Dindigul,Tamil Nadu,10.379260158336535,77.80498330785498,Karur,Tamil Nadu,10.831786305026723,78.11836937868742
Dindigul,Tamil Nadu,10.379260158336535,77.80498330785498,Madurai,Tamil Nadu,9.909971375903904,77.98956527869419
Dindigul,Tamil Nadu,10.379260158336535,77.80498330785498,Theni,Tamil Nadu,9.880751439386067,77.42393232021155
Dindigul,Tamil Nadu,10.379260158336535,77.80498330785498,Tiruchchirappalli,Tamil Nadu,10.876685258615895,78.55491393792526
Erode,Tamil Nadu,11.319382187814165,77.44692953240096,Karur,Tamil Nadu,10.831786305026723,78.11836937868742
Erode,Tamil Nadu,11.319382187814165,77.44692953240096,Namakkal,Tamil Nadu,11.305296147359348,78.12248315163508
Erode,Tamil Nadu,11.319382187814165,77.44692953240096,Nilgiris,Tamil Nadu,11.448384731421388,76.63281167845548
Erode,Tamil Nadu,11.319382187814165,77.44692953240096,Salem,Tamil Nadu,11.663093379088567,78.20916073899492
Kancheepuram,Tamil Nadu,12.68130607406704,79.93615675192115,Thiruvallur,Tamil Nadu,13.23032852238684,79.92518938442433
Kancheepuram,Tamil Nadu,12.68130607406704,79.93615675192115,Tiruvannamalai,Tamil Nadu,12.418655269773646,79.15445865404303
Kancheepuram,Tamil Nadu,12.68130607406704,79.93615675192115,Vellore,Tamil Nadu,12.800637803865245,78.99814820456407
