Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14
KN/BEL/2023/15/291,Karnataka,Bellary,Dengue,15,00,12-04-23,15-04-23,Under Control,,"Cases reported from Village Basavapura,",,3439901971685510753.pdf
KN/CKR/2023/15/292,Karnataka,Chikkaballapura,Suspected Rabies Death,01,01,08-04-23,10-04-23,Under Surveillance,,Case reported from Village,,3439901971685510753.pdf
KN/DHA/2023/15/293,Karnataka,Dharwad,Acute Diarrheal Disease,13,00,11-04-23,11-04-23,Under Control,,"Cases reported from Village Tejaswinagar, S R",,3439901971685510753.pdf
KN/BIJ/2023/15/294,Karnataka,Vijayanagar,Food Poisoning,32,00,11-04-23,12-04-23,Under Surveillance,,"Cases reported from Village Hadagali, 1st",,3439901971685510753.pdf
OR/KPT/2023/15/295,Odisha,Koraput,Fever with Rash,13,00,11-04-23,15-04-23,Under Control,,"Cases reported from Siunipadar, SC",,3439901971685510753.pdf
PB/NWS/2023/15/296,Punjab,S.A.S Nagar,Acute Diarrheal Disease,19,00,07-04-2023,11-04-2023,Under Control,,"Cases reported from Khizargarh PHC,",,3439901971685510753.pdf
WB/SPG/2023/15/297,West Bengal,Basirhat,Food Poisoning,87,00,12-04-23,12-04-23,Under Surveillance,,"Cases reported from Village/GP Dhuturdaha,",,3439901971685510753.pdf
WB/SPG/2023/15/298,West Bengal,Diamond Harbour,Food Poisoning,114,00,16-04-23,17-04-23,Under Surveillance,,"Cases reported from Village Kulpi Daptaripara,",,3439901971685510753.pdf
KL/KOA/2023/15/303,Kerala,Kollam,Food Poisoning,47,00,02-04-2023,Under Control,,"Cases reported from Village Kareepra, Subdistrict Kottarakkar,",,3439901971685510753.pdf,
KN/HAS/2023/15/304,Karnataka,Hassan,Human Rabies,01,01,06-04-2023,Under Control,,"Case reported from B. Kalenahalli, PHC Baguru, Taluk",,3439901971685510753.pdf,
KN/HAS/2023/15/305,Karnataka,Hassan,Human Rabies,01,01,05-04-23,Under Surveillance,,"Case reported from B. Kalenahalli, PHC/CHC Baguru, Taluk",,3439901971685510753.pdf,
KN/MNY/2023/15/306,Karnataka,Mandya,Suspected Rabies Death,01,01,05-04-23,Under Control,,"Case reported from Village Vaderahalli, PHC/CHC",,3439901971685510753.pdf,
UP/GON/2023/15/307,Uttar Pradesh,Gonda,Chickenpox,12,00,28-03-2023,Under Control,,"Cases reported from Khargupur, District Gonda. Cases",,3439901971685510753.pdf,
BH/BAN/2023/16/308,Bihar,Banka,Fever with Rash,17,00,11-04-2023,17-04-2023,Under Control,,"Cases reported from Village Mathurapur,",,4625928981686305861.pdf
JK/SHP/2023/16/309,Jammu and Kashmir,Shopian,Hepatitis A,05,00,21-04-2023,21-04-2023,Under Control,,"Cases reported from Village Adua, Block",,4625928981686305861.pdf
JH/ESI/2023/16/310,Jharkhand,East Singhbum,Chickenpox,14,00,15-04-2023,17-04-2023,Under Control,,"Cases reported from Village Rautara,",,4625928981686305861.pdf
KL/ERN/2023/16/311,Kerala,Ernakulam,West Nile Fever,01,00,23-03-23,25-04-23,Under Control,,"Case reported from Cheranellur, PHC",,4625928981686305861.pdf
KL/MLP/2023/16/312,Kerala,Malappuram,Food Poisoning,19,00,11-04-23,24-04-23,Under Surveillance,,"Cases reported from Village Ponmala, SC Main",,4625928981686305861.pdf
KL/TRC/2023/16/313,Kerala,Thrissur,West Nile Fever,01,00,08-04-23,25-04-23,Under Surveillance,,"Cases reported from Ollur, Kanattukara,",,4625928981686305861.pdf
KN/BDR/2023/16/314,Karnataka,Bidar,Acute Diarrheal Disease,40,00,19-04-2023,20-04-2023,Under Control,,"Cases reported from Village Khanapur, PHC",,4625928981686305861.pdf
KN/BGR/2023/16/315,Karnataka,Bangalore,Acute Diarrheal Disease,297,00,19-04-23,22-04-23,Under Surveillance,,,,4625928981686305861.pdf
KN/DKK/2023/16/316,Karnataka,Dakshina Kannada,Measles,15,00,18-03-23,21-04-23,Under Surveillance,,"Cases reported from Village Kotekar,",,4625928981686305861.pdf
KN/GUL/2023/16/317,Karnataka,Kalaburagi,Acute Diarrheal Disease,11,00,19-04-23,21-04-23,Under Surveillance,,Cases reported from Village/PHC/CHC,,4625928981686305861.pdf
KN/MNY/2023/16/318,Karnataka,Mandya,Measles,07,00,18-04-2023,18-04-2023,Under Control,,Cases reported from from Village,,4625928981686305861.pdf
KN/TUM/2023/16/319,Karnataka,Tumkur,Acute Diarrheal Disease,50,00,22-04-23,23-04-23,Under Surveillance,,"Cases reported from Village Vadarhalli,",,4625928981686305861.pdf
OR/KPP/2023/16/320,Odisha,Koraput,Acute Diarrheal Disease,30,00,20-04-23,21-04-23,Under Control,,"Cases reported from Village Machera, GP/SC",,4625928981686305861.pdf
OR/SUN/2023/16/321,Odisha,Sundargarh,Acute Diarrheal Disease,25,00,18-04-23,21-04-23,Under Control,,Cases reported from Soyamba Govt Girls High,,4625928981686305861.pdf
TN/TPL/2023/16/322,Tamil Nadu,Tiruchirappalli,Acute Diarrheal Disease,17,00,22-04-2023,23-04-2023,Under Control,,"Cases reported from Village Siruvayalur, PHC",,4625928981686305861.pdf
WB/PRL/2023/16/323,West Bengal,Purulia,Acute Diarrheal Disease,36,00,19-04-23,19-04-23,Under Surveillance,,"Cases reported from Village Dumurkola, SC",,4625928981686305861.pdf
WB/PRL/2023/16/324,West Bengal,Purulia,Acute Diarrheal Disease,39,00,19-04-23,20-04-23,Under Surveillance,,Cases reported from Purulia Municipality,,4625928981686305861.pdf
KN/GDG/2023/16/329,Karnataka,Gadag,Measles,61,00,12-04-23,Under Surveillance,,"Cases reported from Village Korawara oni Gadag, Panjarapoli",,4625928981686305861.pdf,
KN/TUM/2023/16/330,Karnataka,Tumkur,Human Rabies,01,01,16-02-23,Under Surveillance,,"Cases reported from Village/PHC/CHC Doddagrahara, Taluk",,4625928981686305861.pdf,
CT/NRY/2023/17/331,Chhattisgarh,Narayanpur,Acute Diarrheal Disease,26,00,29-04-2023,30-04-2023,Under Control,,"Cases reported from Village Kulhadgaon,",,48854385361688450498.pdf
GJ/GAN/2023/17/332,Gujarat,Gandhinagar,Acute Diarrheal Disease,50,00,26-04-2023,29-04-2023,Under Control,,"Cases reported from UPHC-Vasol, Bhumipark",,48854385361688450498.pdf
KN/BGK/2023/17/333,Karnataka,Bagalkote,Suspected Measles,13,00,25-04-23,26-04-23,Under Surveillance,,"Cases reported from Village Soraganv,",,48854385361688450498.pdf
KN/CKR/2023/17/334,Karnataka,Chikkaballapura,Acute Diarrheal Disease,17,00,26-04-23,26-04-23,Under Surveillance,,"Cases reported from Village Peresandra,",,48854385361688450498.pdf
KN/HAS/2023/17/335,Karnataka,Hassan,Acute Diarrheal Disease,20,00,28-04-23,29-04-23,Under Control,,"Cases reported from Village Chatanahalli,",,48854385361688450498.pdf
KL/MLP/2023/17/336,Kerala,Malappuram,Food Poisoning,23,00,24-04-23,03-05-23,Under Surveillance,,"Cases reported from Village A R Nagar, FWC",,48854385361688450498.pdf
MP/MDS/2023/17/337,Madhya Pradesh,Mandsaur,Food Poisoning,125,00,19-04-23,26-04-23,Under Control,,"Cases reported from Village/GP, Block,",,48854385361688450498.pdf
MH/NAN/2023/17/338,Maharashtra,Nanded,Dengue,13,00,28-04-2023,30-04-2023,Under Control,,"Cases reported from Village Walki Bk,",,48854385361688450498.pdf
MG/EKH/2023/17/339,Meghalaya,East Khasi Hills,Chickenpox,25,00,24-04-2023,25-04-2023,Under Control,,Cases reported from Nongshluid village under,,48854385361688450498.pdf
MG/RIB/2023/17/340,Meghalaya,Ri Bhoi,Human Rabies,01,01,20-03-2023,28-04-2023,Under Control,,"Case reported from Village Umbir, Subdistrict",,48854385361688450498.pdf
OR/MBJ/2023/17/341,Odisha,Mayurbhanj,Acute Diarrheal Disease,65,00,23-04-23,27-04-23,Under Control,,"Cases reported from SC Narandihi, CHC",,48854385361688450498.pdf
PB/SAS/2023/17/342,Punjab,S.A.S Nagar,Acute Diarrheal Disease,22,00,27-04-2023,28-04-2023,Under Control,,"Cases reported from Gharuan PHC, Sub-",,48854385361688450498.pdf
TN/TNJ/2023/17/343,Tamil Nadu,Thanjavur,Acute Diarrheal Disease,18,00,27-04-2023,27-04-2023,Under Control,,"Cases reported from Village Manavayal,",,48854385361688450498.pdf
TL/HYD/2023/17/344,Telangana,Hyderabad,Acute Diarrheal Disease,65,00,27-04-2023,29-04-2023,Under Control,,"Cases reported from Chinthabavi, UPHC",,48854385361688450498.pdf
WB/NCP/2023/17/345,West Bengal,Basirhat HD,Viral Hepatitis A & E,93,00,24-04-23,25-04-23,Under Control,,"Cases reported from Municipality Bairhat,",,48854385361688450498.pdf
JH/JAT/2023/17/348,Jharkhand,Jamtara,Chickenpox,21,00,04-04-2023,Under Control,,"Cases reported from Muchiadih under HSC Lokania,",,48854385361688450498.pdf,
JH/JAT/2023/18/349,Assam,Bongaigaon,Japanese Encephalitis,01,00,02-05-2023,03-05-2023,Under Control,,"Case reported from Village Atugaon, under",,8984621471688550207.pdf
JH/JAT/2023/18/350,Bihar,Sheohar,Acute Encephalitic Syndrome,01,00,03-05-2023,03-05-2023,Under Control,,Case reported as a part of ongoing AES,,8984621471688550207.pdf
JH/JAT/2023/18/351,Gujarat,Valsad,Acute Diarrheal Disease,10,00,04-05-2023,04-05-2023,Under Control,,"Cases reported from Village Mani, Taluka",,8984621471688550207.pdf
JH/JAT/2023/18/352,Karnataka,Davangere,Rabies,01,01,03-05-23,03-05-23,Under Surveillance,,"Cases reported from Village Pallagatte, Taluk",,8984621471688550207.pdf
JH/JAT/2023/18/353,Karnataka,Vijayanagar,Acute Diarrheal Disease,36,00,03-05-23,04-05-23,Under Surveillance,,Cases reported from Village/PHC,,8984621471688550207.pdf
JH/JAT/2023/18/354,Kerala,Kollam,Acute Diarrheal Disease,44,00,03-05-2023,04-05-2023,Under Control,,Cases reported from Ward 15 (GMC,,8984621471688550207.pdf
JH/JAT/2023/18/355,Kerala,Kannur,Food Poisoning,42,00,02-05-23,03-05-23,Under Surveillance,,"Cases reported from Village Chirakkal, SC",,8984621471688550207.pdf
JH/JAT/2023/18/356,Kerala,Kannur,Food Poisoning,53,00,05-05-23,08-05-23,Under Surveillance,,"Cases reported from Village Morazha, under",,8984621471688550207.pdf
JH/JAT/2023/18/357,Kerala,Palakkad,Food Poisoning,10,00,04-05-23,08-05-23,Under Surveillance,,"Cases reported from Ward 24, 25 (Chalavara,",,8984621471688550207.pdf
JH/JAT/2023/18/358,Kerala,Thrissur,Food Poisoning (Shigella Sonnie),07,01,02-05-23,10-05-23,Under Surveillance,,"Cases reported from CHC Mattathur, CHC",,8984621471688550207.pdf
JH/JAT/2023/18/359,Madhya Pradesh,Neemuch,Measles,06,00,28-04-2023,02-05-2023,Under Control,,Cases reported from Urban Neemuch. Cases,,8984621471688550207.pdf
JH/JAT/2023/18/360,Odisha,Koraput,Anthrax,05,00,30-04-23,02-05-23,Under Control,,"Cases reported from villages Tentuliguda,",,8984621471688550207.pdf
JH/JAT/2023/18/361,Odisha,Sundargarh,Food Poisoning,34,00,03-05-23,04-05-23,Under Control,,"Cases reported from Village Sanindipur,",,8984621471688550207.pdf
